Date,Open,High,Low,Close,Adj Close,Volume
2020-05-14,29.900000,31.730000,29.709999,31.660000,31.660000,12443100
2020-05-15,31.799999,32.849998,31.110001,31.330000,31.330000,14103800
2020-05-18,31.280001,31.400999,28.719999,29.000000,29.000000,16946000
2020-05-19,29.559999,30.440001,29.020000,29.690001,29.690001,10367300
2020-05-20,30.240000,31.379000,30.070000,31.350000,31.350000,8869400
2020-05-21,31.500000,32.080002,30.670000,31.639999,31.639999,9152000
2020-05-22,32.009998,32.080002,31.070000,31.709999,31.709999,12007100
2020-05-26,32.040001,33.285999,31.610001,32.410000,32.410000,15961500
2020-05-27,32.299999,32.400002,30.420000,32.110001,32.110001,14407600
2020-05-28,32.220001,33.730000,31.930000,32.540001,32.540001,11724000
2020-05-29,33.740002,35.110001,33.270000,35.049999,35.049999,33663200
2020-06-01,35.580002,37.340000,35.230000,37.180000,37.180000,18397000
2020-06-02,38.770000,38.900002,36.180000,38.380001,38.380001,37203800
2020-06-03,38.439999,39.990002,38.000000,39.900002,39.900002,26184600
2020-06-04,40.000000,40.070000,37.669998,37.939999,37.939999,55102700
2020-06-05,31.770000,33.599998,30.520000,32.560001,32.560001,91772500
2020-06-08,32.220001,32.290001,30.549999,32.009998,32.009998,37757600
2020-06-09,31.799999,32.000000,30.850000,31.320000,31.320000,17851600
2020-06-10,31.820000,32.599998,31.330000,32.470001,32.470001,20476200
2020-06-11,31.690001,32.750000,29.680000,30.340000,30.340000,27085800
2020-06-12,31.100000,31.230000,29.540001,30.860001,30.860001,18804500
2020-06-15,30.000000,31.150000,29.660000,30.870001,30.870001,17141400
2020-06-16,31.110001,32.605000,30.660000,32.360001,32.360001,20961400
2020-06-17,32.580002,33.340000,32.209999,32.400002,32.400002,19400800
2020-06-18,32.000000,34.669998,31.889999,34.220001,34.220001,27456100
2020-06-19,32.560001,34.090000,32.049999,33.130001,33.130001,41767000
2020-06-22,33.250000,34.209999,33.150002,34.209999,34.209999,19928400
2020-06-23,34.340000,34.349998,33.110001,34.040001,34.040001,20378000
2020-06-24,33.900002,34.275002,31.670000,31.969999,31.969999,27224600
2020-06-25,32.320000,33.080002,31.164000,32.820000,32.820000,24371800
2020-06-26,32.740002,33.560001,31.760000,32.529999,32.529999,38308100
2020-06-29,32.160000,32.529999,30.150000,30.870001,30.870001,20315700
2020-06-30,30.969999,31.459999,30.700001,31.090000,31.090000,12488500
2020-07-01,30.799999,31.270000,30.580000,31.059999,31.059999,11380000
2020-07-02,31.139999,31.360001,30.090000,30.309999,30.309999,16953200
2020-07-06,30.540001,31.670000,30.180000,31.120001,31.120001,13610700
2020-07-07,31.209999,31.770000,30.655001,31.480000,31.480000,10799400
2020-07-08,31.760000,34.250000,31.570000,34.240002,34.240002,24960300
2020-07-09,33.570000,34.090000,31.900000,34.020000,34.020000,27169400
2020-07-10,34.180000,34.259998,33.169998,33.840000,33.840000,12095200
2020-07-13,34.549999,36.230000,33.230000,33.419998,33.419998,34995000
2020-07-14,32.689999,32.770000,30.920000,32.369999,32.369999,27748700
2020-07-15,32.180000,32.230000,31.260000,32.119999,32.119999,14202300
2020-07-16,31.889999,31.959999,30.860001,31.610001,31.610001,11052800
2020-07-17,32.130001,32.485001,31.350000,32.110001,32.110001,10530100
2020-07-20,32.209999,33.459999,32.070000,33.290001,33.290001,12126200
2020-07-21,33.700001,33.790001,32.470001,32.610001,32.610001,12813900
2020-07-22,32.770000,32.880001,30.730000,30.940001,30.940001,20248600
2020-07-23,30.950001,31.718000,30.040001,30.350000,30.350000,14914100
2020-07-24,29.980000,30.000000,28.820999,29.719999,29.719999,16251400
2020-07-27,29.830000,30.010000,28.950001,29.370001,29.370001,13550400
2020-07-28,29.190001,29.480000,28.510000,28.750000,28.750000,14343100
2020-07-29,28.950001,29.030001,28.450001,28.600000,28.600000,11042100
2020-07-30,28.420000,29.059999,28.020000,28.770000,28.770000,8518800
2020-07-31,29.030001,29.639999,28.360001,29.549999,29.549999,14130900
2020-08-03,29.940001,30.754999,29.660000,30.500000,30.500000,18787300
2020-08-04,30.600000,30.730000,30.075001,30.540001,30.540001,8821100
2020-08-05,30.350000,30.500000,29.590000,30.010000,30.010000,9466700
2020-08-06,30.000000,31.270000,29.600000,30.090000,30.090000,14511300
2020-08-07,30.000000,30.120001,28.299999,28.950001,28.950001,15369700
2020-08-10,29.030001,29.110001,27.570000,28.120001,28.120001,14221800
2020-08-11,27.900000,28.205000,27.527000,27.610001,27.610001,9760400
2020-08-12,27.799999,28.480000,27.540001,27.850000,27.850000,9556700
2020-08-13,28.020000,28.580000,27.850000,28.240000,28.240000,6688300
2020-08-14,28.370001,28.799999,28.219999,28.360001,28.360001,4774800
2020-08-17,28.440001,28.780001,27.565001,28.240000,28.240000,9516300
2020-08-18,28.219999,28.700001,28.040001,28.410000,28.410000,8112400
2020-08-19,28.430000,28.900000,28.280001,28.570000,28.570000,6342500
2020-08-20,28.580000,30.100000,28.450001,29.980000,29.980000,12255900
2020-08-21,30.139999,30.330000,29.070000,29.080000,29.080000,8273800
2020-08-24,29.360001,29.430000,28.139999,28.290001,28.290001,11291800
2020-08-25,28.180000,28.840000,27.770000,28.570000,28.570000,8684600
2020-08-26,28.940001,31.020000,28.900000,30.230000,30.230000,19021500
2020-08-27,30.530001,31.200001,30.040001,30.850000,30.850000,12681700
2020-08-28,31.030001,32.240002,31.000000,31.910000,31.910000,12368100
2020-08-31,32.029999,32.889999,31.690001,32.840000,32.840000,15968500
2020-09-01,34.430000,34.820000,33.570000,34.299999,34.299999,26214100
2020-09-02,35.000000,35.070000,33.070000,33.650002,33.650002,20945200
2020-09-03,32.450001,32.639999,30.230000,30.980000,30.980000,19091900
2020-09-04,30.799999,31.120001,28.000000,29.070000,29.070000,22013300
2020-09-08,28.290001,30.590000,28.059999,29.320000,29.320000,41255200
2020-09-09,24.620001,25.830000,24.205000,25.240000,25.240000,85195300
